Rowid,Country,Sourceyear,Base year - 2011-12,Sourcequarter,Price category,Private final consumption expenditure ( pfce ),Government final consumption expenditure ( gfce ),Gross fixed capital formation ( gfcf ),Change in stock,Valuables,Export of goods & services,Import of goods & services,Discrepancies,Gdp at market prices,Yearcode,Year,Quartercode,Quarter
1,India,2011-12 ,2011-12,Q1-2011-12 ,Current Prices,1196398,195528,682095,51754,55260,493075,626235,-4379,2043496,2011,"Financial Year (Apr - Mar), 2011",201101,"April - June, 2011"
2,India,2011-12 ,2011-12,Q1-2011-12 ,Constant Prices,1236604,204165,696955,52516,59927,506867,643806,-10365,2102863,2011,"Financial Year (Apr - Mar), 2011",201101,"April - June, 2011"
3,India,2012-13 ,2011-12,Q1-2012-13 ,Constant Prices,1225157,228823,763692,48569,69769,532776,677720,14158,2205223,2012,"Financial Year (Apr - Mar), 2012",201201,"April - June, 2012"
4,India,2012-13 ,2011-12,Q1-2012-13 ,Current Prices,1288287,240745,795727,51094,68570,555655,715867,28993,2313203,2012,"Financial Year (Apr - Mar), 2012",201201,"April - June, 2012"
5,India,2013-14 ,2011-12,Q1-2013-14 ,Constant Prices,1321379,272181,785525,31849,37117,550330,657363,6380,2347396,2013,"Financial Year (Apr - Mar), 2013",201301,"April - June, 2013"
6,India,2013-14 ,2011-12,Q1-2013-14 ,Current Prices,1480173,308485,847938,34870,38190,616226,768365,7857,2565374,2013,"Financial Year (Apr - Mar), 2013",201301,"April - June, 2013"
7,India,2014-15 ,2011-12,Q1-2014-15 ,Constant Prices,1417165,278564,808569,68881,49133,622485,663205,-45841,2535751,2014,"Financial Year (Apr - Mar), 2014",201401,"April - June, 2014"
8,India,2014-15 ,2011-12,Q1-2014-15 ,Current Prices,1715731,337037,928906,78435,53195,706896,800617,-105190,2914393,2014,"Financial Year (Apr - Mar), 2014",201401,"April - June, 2014"
9,India,2015-16 ,2011-12,Q1-2015-16 ,Constant Prices,1517933,291843,838302,58664,41485,582461,624902,22492,2728279,2015,"Financial Year (Apr - Mar), 2015",201501,"April - June, 2015"
10,India,2015-16 ,2011-12,Q1-2015-16 ,Current Prices,1914898,363606,961035,64910,46212,671294,757978,-20434,3243543,2015,"Financial Year (Apr - Mar), 2015",201501,"April - June, 2015"
11,India,2016-17 ,2011-12,Q1-2016-17 ,Constant Prices,1623633,298933,953527,30562,35095,603118,627453,47673,2965088,2016,"Financial Year (Apr - Mar), 2016",201601,"April - June, 2016"
12,India,2016-17 ,2011-12,Q1-2016-17 ,Current Prices,2120871,389046,1085915,34081,38439,704795,760292,26920,3639775,2016,"Financial Year (Apr - Mar), 2016",201601,"April - June, 2016"
13,India,2017-18 ,2011-12,Q1-2017-18 ,Constant Prices,1763225,363307,963709,47837,69319,626933,763828,75834,3146336,2017,"Financial Year (Apr - Mar), 2017",201701,"April - June, 2017"
14,India,2017-18 ,2011-12,Q1-2017-18 ,Current Prices,2358855,484811,1125165,54474,81416,758515,912523,58203,4008916,2017,"Financial Year (Apr - Mar), 2017",201701,"April - June, 2017"
15,India,2018-19 ,2011-12,Q1-2018-19 ,Constant Prices,1874398,387341,1102112,63762,46449,684204,804000,28035,3382301,2018,"Financial Year (Apr - Mar), 2018",201801,"April - June, 2018"
16,India,2018-19 ,2011-12,Q1-2018-19 ,Current Prices,2640304,544125,1336612,76507,53630,870374,1057122,104938,4569369,2018,"Financial Year (Apr - Mar), 2018",201801,"April - June, 2018"
17,India,2019-20 ,2011-12,Q1-2019-20 ,Constant Prices,2009312,377951,1197344,27081,43887,703240,877979,68121,3548958,2019,"Financial Year (Apr - Mar), 2019",201901,"April - June, 2019"
18,India,2019-20 ,2011-12,Q1-2019-20 ,Current Prices,2919710,546982,1501041,33706,48179,930665,1117375,79547,4942455,2019,"Financial Year (Apr - Mar), 2019",201901,"April - June, 2019"
19,India,2020-21 ,2011-12,Q1-2020-21 ,Constant Prices,1532170,429241,654479,-1995,3790,523643,517454,79724,2703598,2020,"Financial Year (Apr - Mar), 2020",202001,"April - June, 2020"
20,India,2020-21 ,2011-12,Q1-2020-21 ,Current Prices,2295743,648496,800027,-1970,4459,748963,671810,49535,3873443,2020,"Financial Year (Apr - Mar), 2020",202001,"April - June, 2020"
21,India,2021-22 ,2011-12,Q1-2021-22 ,Constant Prices,1749028,410314,1063775,43694,23428,735337,831305,58835,3253106,2021,"Financial Year (Apr - Mar), 2021",202101,"April - June, 2021"
22,India,2021-22 ,2011-12,Q1-2021-22 ,Current Prices,2840548,663286,1443884,49134,31869,1128353,1158487,149708,5148294,2021,"Financial Year (Apr - Mar), 2021",202101,"April - June, 2021"
23,India,2011-12 ,2011-12,Q2-2011-12 ,Current Prices,1119459,255853,722664,48668,65318,503937,636896,-49534,2029469,2011,"Financial Year (Apr - Mar), 2011",201102,"July - September, 2011"
24,India,2011-12 ,2011-12,Q2-2011-12 ,Constant Prices,1127293,257147,727749,49135,65430,507189,640634,-50440,2042870,2011,"Financial Year (Apr - Mar), 2011",201102,"July - September, 2011"
25,India,2012-13 ,2011-12,Q2-2012-13 ,Constant Prices,1224959,286153,767235,50685,64580,652251,745414,-104504,2195946,2012,"Financial Year (Apr - Mar), 2012",201202,"July - September, 2012"
26,India,2012-13 ,2011-12,Q2-2012-13 ,Current Prices,1323175,310870,809693,54003,67458,694342,803997,-98592,2356953,2012,"Financial Year (Apr - Mar), 2012",201202,"July - September, 2012"
27,India,2013-14 ,2011-12,Q2-2013-14 ,Constant Prices,1299203,279485,779670,32224,37742,645078,684552,-31770,2357079,2013,"Financial Year (Apr - Mar), 2013",201302,"July - September, 2013"
28,India,2013-14 ,2011-12,Q2-2013-14 ,Current Prices,1515621,331309,855856,35820,40720,747413,827690,-12847,2686203,2013,"Financial Year (Apr - Mar), 2013",201302,"July - September, 2013"
29,India,2014-15 ,2011-12,Q2-2014-15 ,Constant Prices,1412804,307609,815553,69140,45223,626568,681671,-32984,2562242,2014,"Financial Year (Apr - Mar), 2014",201402,"July - September, 2014"
30,India,2014-15 ,2011-12,Q2-2014-15 ,Current Prices,1758329,384487,944024,79320,48592,727108,840839,-47039,3053982,2014,"Financial Year (Apr - Mar), 2014",201402,"July - September, 2014"
31,India,2015-16 ,2011-12,Q2-2015-16 ,Constant Prices,1513130,335329,844359,59498,48495,596859,656933,27350,2768087,2015,"Financial Year (Apr - Mar), 2015",201502,"July - September, 2015"
32,India,2015-16 ,2011-12,Q2-2015-16 ,Current Prices,1930422,425667,960324,65316,52177,687101,795277,30155,3355884,2015,"Financial Year (Apr - Mar), 2015",201502,"July - September, 2015"
33,India,2016-17 ,2011-12,Q2-2016-17 ,Constant Prices,1658457,343179,913935,30378,37226,611524,656241,97297,3035756,2016,"Financial Year (Apr - Mar), 2016",201602,"July - September, 2016"
34,India,2016-17 ,2011-12,Q2-2016-17 ,Current Prices,2199049,455122,1045064,34072,44547,720886,800974,56349,3754117,2016,"Financial Year (Apr - Mar), 2016",201602,"July - September, 2016"
35,India,2017-18 ,2011-12,Q2-2017-18 ,Constant Prices,1738953,368364,972543,51709,51040,639986,725604,100204,3197195,2017,"Financial Year (Apr - Mar), 2017",201702,"July - September, 2017"
36,India,2017-18 ,2011-12,Q2-2017-18 ,Current Prices,2376307,504290,1141095,59108,58761,784765,877555,110475,4157246,2017,"Financial Year (Apr - Mar), 2017",201702,"July - September, 2017"
37,India,2018-19 ,2011-12,Q2-2018-19 ,Constant Prices,1888258,398078,1097685,65795,50462,717628,856915,42653,3403644,2018,"Financial Year (Apr - Mar), 2018",201802,"July - September, 2018"
38,India,2018-19 ,2011-12,Q2-2018-19 ,Current Prices,2705685,570240,1344943,79712,59785,924645,1139191,110197,4656017,2018,"Financial Year (Apr - Mar), 2018",201802,"July - September, 2018"
39,India,2019-20 ,2011-12,Q2-2019-20 ,Constant Prices,2004859,418372,1093791,26951,44242,705236,838150,90923,3546223,2019,"Financial Year (Apr - Mar), 2019",201902,"July - September, 2019"
40,India,2019-20 ,2011-12,Q2-2019-20 ,Current Prices,2949714,616670,1359901,33365,53685,927287,1060389,-18581,4861652,2019,"Financial Year (Apr - Mar), 2019",201902,"July - September, 2019"
41,India,2020-21 ,2011-12,Q2-2020-21 ,Constant Prices,1839177,322530,1044735,-3048,52356,659753,688186,83612,3310930,2020,"Financial Year (Apr - Mar), 2020",202002,"July - September, 2020"
42,India,2020-21 ,2011-12,Q2-2020-21 ,Current Prices,2825021,500590,1290480,-3033,69016,928387,877558,-11084,4721819,2020,"Financial Year (Apr - Mar), 2020",202002,"July - September, 2020"
43,India,2021-22 ,2011-12,Q2-2021-22 ,Constant Prices,2027649,352448,1197610,47301,142829,794785,968017,-2955,3591649,2021,"Financial Year (Apr - Mar), 2021",202102,"July - September, 2021"
44,India,2021-22 ,2011-12,Q2-2021-22 ,Current Prices,3339776,582766,1650432,54069,190816,1226255,1358373,-51037,5634704,2021,"Financial Year (Apr - Mar), 2021",202102,"July - September, 2021"
45,India,2011-12 ,2011-12,Q3-2011-12 ,Constant Prices,1264940,220375,752162,49219,60517,553499,713921,38344,2225135,2011,"Financial Year (Apr - Mar), 2011",201103,"October - December, 2011"
46,India,2011-12 ,2011-12,Q3-2011-12 ,Current Prices,1281386,223408,756940,49375,62021,557993,719822,33551,2244852,2011,"Financial Year (Apr - Mar), 2011",201103,"October - December, 2011"
47,India,2012-13 ,2011-12,Q3-2012-13 ,Constant Prices,1377374,189645,769339,48221,60196,528617,736032,107407,2344767,2012,"Financial Year (Apr - Mar), 2012",201203,"October - December, 2012"
48,India,2012-13 ,2011-12,Q3-2012-13 ,Current Prices,1508201,209687,815439,51525,69906,566043,798750,126326,2548378,2012,"Financial Year (Apr - Mar), 2012",201203,"October - December, 2012"
49,India,2013-14 ,2011-12,Q3-2013-14 ,Constant Prices,1473208,195395,787579,31359,32399,613840,632541,-3242,2497997,2013,"Financial Year (Apr - Mar), 2013",201303,"October - December, 2013"
50,India,2013-14 ,2011-12,Q3-2013-14 ,Current Prices,1752701,237025,875621,35128,35542,726998,783769,41824,2921070,2013,"Financial Year (Apr - Mar), 2013",201303,"October - December, 2013"
51,India,2014-15 ,2011-12,Q3-2014-15 ,Constant Prices,1504576,251973,793637,63605,40231,635338,680646,37234,2645947,2014,"Financial Year (Apr - Mar), 2014",201403,"October - December, 2014"
52,India,2014-15 ,2011-12,Q3-2014-15 ,Current Prices,1854293,313547,909481,72448,45802,732620,836454,93180,3184917,2014,"Financial Year (Apr - Mar), 2014",201403,"October - December, 2014"
53,India,2015-16 ,2011-12,Q3-2015-16 ,Constant Prices,1633448,272799,874855,56668,45507,578983,614330,-11544,2836387,2015,"Financial Year (Apr - Mar), 2015",201503,"October - December, 2015"
54,India,2015-16 ,2011-12,Q3-2015-16 ,Current Prices,2096441,349865,991938,61887,51419,677377,758572,6278,3476632,2015,"Financial Year (Apr - Mar), 2015",201503,"October - December, 2015"
55,India,2016-17 ,2011-12,Q3-2016-17 ,Constant Prices,1816561,289775,933180,29100,35698,618792,679557,36072,3079622,2016,"Financial Year (Apr - Mar), 2016",201603,"October - December, 2016"
56,India,2016-17 ,2011-12,Q3-2016-17 ,Current Prices,2409748,384784,1070570,32836,43233,743329,847860,38366,3875007,2016,"Financial Year (Apr - Mar), 2016",201603,"October - December, 2016"
57,India,2017-18 ,2011-12,Q3-2017-18 ,Constant Prices,1892042,319987,1019644,50223,43541,646679,775330,88205,3284992,2017,"Financial Year (Apr - Mar), 2017",201703,"October - December, 2017"
58,India,2017-18 ,2011-12,Q3-2017-18 ,Current Prices,2620784,444759,1209889,57885,54465,817205,970030,104236,4339194,2017,"Financial Year (Apr - Mar), 2017",201703,"October - December, 2017"
59,India,2018-19 ,2011-12,Q3-2018-19 ,Constant Prices,2033403,331283,1150660,63607,44383,744837,869203,-9208,3489761,2018,"Financial Year (Apr - Mar), 2018",201803,"October - December, 2018"
60,India,2018-19 ,2011-12,Q3-2018-19 ,Current Prices,2925858,476810,1422243,77518,59677,983152,1188200,115940,4872998,2018,"Financial Year (Apr - Mar), 2018",201803,"October - December, 2018"
61,India,2019-20 ,2011-12,Q3-2019-20 ,Constant Prices,2157091,345786,1135023,26083,37119,706562,807150,-819,3599696,2019,"Financial Year (Apr - Mar), 2019",201903,"October - December, 2019"
62,India,2019-20 ,2011-12,Q3-2019-20 ,Current Prices,3233963,521297,1399131,32282,49798,963770,1066234,-3595,5130412,2019,"Financial Year (Apr - Mar), 2019",201903,"October - December, 2019"
63,India,2020-21 ,2011-12,Q3-2020-21 ,Constant Prices,2169131,344609,1128117,-3040,50917,645694,765424,56217,3626220,2020,"Financial Year (Apr - Mar), 2020",202003,"October - December, 2020"
64,India,2020-21 ,2011-12,Q3-2020-21 ,Current Prices,3424585,546642,1433253,-3085,66399,958567,1036806,58987,5448542,2020,"Financial Year (Apr - Mar), 2020",202003,"October - December, 2020"
65,India,2021-22 ,2011-12,Q3-2021-22 ,Constant Prices,2321609,356405,1150761,44766,78149,780575,1015305,105199,3822159,2021,"Financial Year (Apr - Mar), 2021",202103,"October - December, 2021"
66,India,2021-22 ,2011-12,Q3-2021-22 ,Current Prices,3967803,605306,1644687,52376,106145,1287926,1535766,174802,6303279,2021,"Financial Year (Apr - Mar), 2021",202103,"October - December, 2021"
67,India,2011-12 ,2011-12,Q4-2011-12 ,Constant Prices,1281610,286688,820867,57112,67159,576376,717194,-7158,2365461,2011,"Financial Year (Apr - Mar), 2011",201104,"January - March, 2012"
68,India,2011-12 ,2011-12,Q4-2011-12 ,Current Prices,1313205,293586,836034,58187,70434,588926,732601,-9260,2418511,2011,"Financial Year (Apr - Mar), 2011",201104,"January - March, 2012"
69,India,2012-13 ,2011-12,Q4-2012-13 ,Constant Prices,1351602,269642,845527,54053,65404,576192,719914,24576,2467082,2012,"Financial Year (Apr - Mar), 2012",201204,"January - March, 2013"
70,India,2012-13 ,2011-12,Q4-2012-13 ,Current Prices,1494822,301103,904113,57902,67841,623666,789814,65845,2725479,2012,"Financial Year (Apr - Mar), 2012",201204,"January - March, 2013"
71,India,2013-14 ,2011-12,Q4-2013-14 ,Constant Prices,1463539,232765,842151,34325,41622,659021,670099,-4429,2598898,2013,"Financial Year (Apr - Mar), 2013",201304,"January - March, 2014"
72,India,2013-14 ,2011-12,Q4-2013-14 ,Current Prices,1727154,279689,936206,38803,47309,766144,811987,77556,3060874,2013,"Financial Year (Apr - Mar), 2013",201304,"January - March, 2014"
73,India,2014-15 ,2011-12,Q4-2014-15 ,Constant Prices,1578112,216005,860337,73125,53370,627754,642073,17103,2783733,2014,"Financial Year (Apr - Mar), 2014",201404,"January - March, 2015"
74,India,2014-15 ,2011-12,Q4-2014-15 ,Current Prices,1918984,266691,967981,82494,61818,697013,758052,77738,3314667,2014,"Financial Year (Apr - Mar), 2014",201404,"January - March, 2015"
75,India,2015-16 ,2011-12,Q4-2015-16 ,Constant Prices,1716907,232831,934667,64727,50499,611978,615375,40504,3036738,2015,"Financial Year (Apr - Mar), 2015",201504,"January - March, 2016"
76,India,2015-16 ,2011-12,Q4-2015-16 ,Current Prices,2184647,297034,1043796,70364,53698,692876,733097,86497,3695814,2015,"Financial Year (Apr - Mar), 2015",201504,"January - March, 2016"
77,India,2016-17 ,2011-12,Q4-2016-17 ,Constant Prices,1801585,269710,986925,32600,43459,654989,658342,96802,3227728,2016,"Financial Year (Apr - Mar), 2016",201604,"January - March, 2017"
78,India,2016-17 ,2011-12,Q4-2016-17 ,Current Prices,2396863,357705,1137122,37094,41107,779762,811466,184584,4122771,2016,"Financial Year (Apr - Mar), 2016",201604,"January - March, 2017"
79,India,2017-18 ,2011-12,Q4-2017-18 ,Constant Prices,1936508,293184,1127183,56667,48407,688414,813511,179207,3516058,2017,"Financial Year (Apr - Mar), 2017",201704,"January - March, 2018"
80,India,2017-18 ,2011-12,Q4-2017-18 ,Current Prices,2680205,406258,1339453,66114,47043,851035,991281,185859,4584686,2017,"Financial Year (Apr - Mar), 2017",201704,"January - March, 2018"
81,India,2018-19 ,2011-12,Q4-2018-19 ,Constant Prices,2054385,318244,1190052,69607,50410,765811,819743,88443,3717210,2018,"Financial Year (Apr - Mar), 2018",201804,"January - March, 2019"
82,India,2018-19 ,2011-12,Q4-2018-19 ,Current Prices,2933446,454378,1464624,84497,53012,988123,1092657,-84139,4801284,2018,"Financial Year (Apr - Mar), 2018",201804,"January - March, 2019"
83,India,2019-20 ,2011-12,Q4-2019-20 ,Constant Prices,2088442,342163,1184862,28169,39279,698570,798306,237901,3821081,2019,"Financial Year (Apr - Mar), 2019",201904,"January - March, 2020"
84,India,2019-20 ,2011-12,Q4-2019-20 ,Current Prices,3133722,515922,1477571,35120,43046,930466,1026234,30723,5140337,2019,"Financial Year (Apr - Mar), 2019",201904,"January - March, 2020"
85,India,2020-21 ,2011-12,Q4-2020-21 ,Constant Prices,2223256,441224,1303947,-3490,100918,724592,891807,19085,3917725,2020,"Financial Year (Apr - Mar), 2020",202004,"January - March, 2021"
86,India,2020-21 ,2011-12,Q4-2020-21 ,Current Prices,3487412,697562,1740313,-3676,131539,1068615,1195098,-169558,5757109,2020,"Financial Year (Apr - Mar), 2020",202004,"January - March, 2021"
