srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
MIZORAM,2017-18,2011-12,Constant Price,13202.103,2017,"Financial Year (Apr - Mar), 2017"
CHHATTISGARH,2017-18,2011-12,Current Price,231560.62,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2017-18,2011-12,Constant Price,381946.683,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2017-18,2011-12,Current Price,699779.9213,2017,"Financial Year (Apr - Mar), 2017"
SIKKIM,2017-18,2011-12,Current Price,20855.7755,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2017-18,2011-12,Constant Price,798901.0634,2017,"Financial Year (Apr - Mar), 2017"
GOA,2017-18,2011-12,Current Price,54975.9437,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2017-18,2011-12,Current Price,617932.56,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2017-18,2011-12,Constant Price,860072.5166,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2017-18,2011-12,Constant Price,405370.84,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2017-18,2011-12,Constant Price,13645.845,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2017-18,2011-12,Constant Price,604856.582,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2017-18,2011-12,Constant Price,79417.9729,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2017-18,2011-12,Current Price,565389.2963,2017,"Financial Year (Apr - Mar), 2017"
TELANGANA,2017-18,2011-12,Current Price,609554.28,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2017-18,2011-12,Current Price,1078542.143,2017,"Financial Year (Apr - Mar), 2017"
CHANDIGARH,2017-18,2011-12,Current Price,30251.18,2017,"Financial Year (Apr - Mar), 2017"
GOA,2017-18,2011-12,Constant Price,42687.4867,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2017-18,2011-12,Current Price,1155870.104,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2017-18,2011-12,Current Price,491986.2788,2017,"Financial Year (Apr - Mar), 2017"
ORISSA,2017-18,2011-12,Constant Price,282828.0,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2017-18,2011-12,Current Price,106922.0435,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2017-18,2011-12,Current Price,178070.0,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2017-18,2011-12,Current Price,645026.6213,2017,"Financial Year (Apr - Mar), 2017"
TELANGANA,2017-18,2011-12,Constant Price,441477.46,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2018-19,2011-12,Current Price,700198.1829,2018,"Financial Year (Apr - Mar), 2018"
TELANGANA,2018-19,2011-12,Current Price,700559.7146,2018,"Financial Year (Apr - Mar), 2018"
TAMIL NADU,2018-19,2011-12,Current Price,1328281.553,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2018-19,2011-12,Constant Price,846501.2073,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2018-19,2011-12,Constant Price,320454.15,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2018-19,2011-12,Constant Price,156450.0,2018,"Financial Year (Apr - Mar), 2018"
ASSAM,2018-19,2011-12,Current Price,249436.4364,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2018-19,2011-12,Constant Price,534637.9046,2018,"Financial Year (Apr - Mar), 2018"
ORISSA,2018-19,2011-12,Current Price,388578.0,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2018-19,2011-12,Current Price,1278528.944,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2018-19,2011-12,Current Price,1201929.578,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2018-19,2011-12,Current Price,465979.2277,2018,"Financial Year (Apr - Mar), 2018"
TELANGANA,2018-19,2011-12,Constant Price,484426.6987,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2018-19,2011-12,Constant Price,14939.593,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2018-19,2011-12,Current Price,22810.6949,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2018-19,2011-12,Current Price,691049.77,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2018-19,2011-12,Current Price,410697.2302,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2018-19,2011-12,Current Price,772780.3554,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2018-19,2011-12,Constant Price,912524.8427,2018,"Financial Year (Apr - Mar), 2018"
TAMIL NADU,2018-19,2011-12,Constant Price,947106.238,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2018-19,2011-12,Current Price,21777.54,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2018-19,2011-12,Constant Price,434932.7676,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2018-19,2011-12,Current Price,42990.36,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2018-19,2011-12,Constant Price,444126.7194,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2018-19,2011-12,Constant Price,31146.87,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2018-19,2011-12,Current Price,118967.8922,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2018-19,2011-12,Current Price,583363.4308,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2018-19,2011-12,Constant Price,404410.1198,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2018-19,2011-12,Current Price,253545.51,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2018-19,2011-12,Current Price,544863.1701,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2018-19,2011-12,Constant Price,85479.4478,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2018-19,2011-12,Constant Price,428793.98,2018,"Financial Year (Apr - Mar), 2018"
GOA,2018-19,2011-12,Constant Price,47469.6735,2018,"Financial Year (Apr - Mar), 2018"
CHANDIGARH,2018-19,2011-12,Current Price,32988.52,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2018-19,2011-12,Current Price,26672.9151,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2018-19,2011-12,Constant Price,189815.75,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2018-19,2011-12,Current Price,1965230.25,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2018-19,2011-12,Constant Price,13931.25,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2018-19,2011-12,Constant Price,93507.7389,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2018-19,2011-12,Constant Price,1541359.089,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2018-19,2011-12,Constant Price,331154.6513,2018,"Financial Year (Apr - Mar), 2018"
ANDAMAN & NICOBAR ISLANDS,2018-19,2011-12,Current Price,7396.2519,2018,"Financial Year (Apr - Mar), 2018"
PUDUCHERRY,2018-19,2011-12,Constant Price,21499.3033,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2018-19,2011-12,Current Price,1139974.453,2018,"Financial Year (Apr - Mar), 2018"
MANIPUR,2018-19,2011-12,Constant Price,16509.29,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2018-19,2011-12,Constant Price,186046.36,2018,"Financial Year (Apr - Mar), 2018"
ASSAM,2018-19,2011-12,Constant Price,182508.3485,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2018-19,2011-12,Constant Price,19340.4963,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2018-19,2011-12,Current Price,18648.9804,2018,"Financial Year (Apr - Mar), 2018"
MANIPUR,2018-19,2011-12,Current Price,24411.42,2018,"Financial Year (Apr - Mar), 2018"
CHANDIGARH,2018-19,2011-12,Constant Price,25019.9,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2018-19,2011-12,Current Price,23353.1069,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2018-19,2011-12,Constant Price,13236.7125,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2018-19,2011-12,Current Price,929278.3356,2018,"Financial Year (Apr - Mar), 2018"
PUDUCHERRY,2018-19,2011-12,Current Price,30557.3174,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2018-19,2011-12,Current Price,260149.68,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2018-19,2011-12,Constant Price,489140.0,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2018-19,2011-12,Constant Price,14597.5229,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2018-19,2011-12,Current Price,619370.5102,2018,"Financial Year (Apr - Mar), 2018"
GOA,2018-19,2011-12,Current Price,57651.6553,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2018-19,2011-12,Constant Price,878403.5988,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2018-19,2011-12,Constant Price,641293.4542,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2018-19,2011-12,Current Price,122008.5122,2018,"Financial Year (Apr - Mar), 2018"
ORISSA,2018-19,2011-12,Constant Price,304266.0,2018,"Financial Year (Apr - Mar), 2018"
ANDAMAN & NICOBAR ISLANDS,2018-19,2011-12,Constant Price,5579.653,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2018-19,2011-12,Current Price,194915.0,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2019-20,2011-12,Constant Price,525267.0,2019,"Financial Year (Apr - Mar), 2019"
HIMACHAL PRADESH,2019-20,2011-12,Constant Price,97989.6391,2019,"Financial Year (Apr - Mar), 2019"
MEGHALAYA,2019-20,2011-12,Current Price,28519.3795,2019,"Financial Year (Apr - Mar), 2019"
TELANGANA,2019-20,2011-12,Current Price,785910.3879,2019,"Financial Year (Apr - Mar), 2019"
JAMMU & KASHMIR,2019-20,2011-12,Constant Price,87014.1205,2019,"Financial Year (Apr - Mar), 2019"
GOA,2019-20,2011-12,Constant Price,42722.0749,2019,"Financial Year (Apr - Mar), 2019"
HIMACHAL PRADESH,2019-20,2011-12,Current Price,129449.2739,2019,"Financial Year (Apr - Mar), 2019"
JHARKHAND,2019-20,2011-12,Constant Price,189533.72,2019,"Financial Year (Apr - Mar), 2019"
ANDHRA PRADESH,2019-20,2011-12,Current Price,780720.9135,2019,"Financial Year (Apr - Mar), 2019"
PUDUCHERRY,2019-20,2011-12,Current Price,31386.519,2019,"Financial Year (Apr - Mar), 2019"
KARNATAKA,2019-20,2011-12,Constant Price,892772.2303,2019,"Financial Year (Apr - Mar), 2019"
KARNATAKA,2019-20,2011-12,Current Price,1315148.115,2019,"Financial Year (Apr - Mar), 2019"
KERALA,2019-20,2011-12,Constant Price,454395.088,2019,"Financial Year (Apr - Mar), 2019"
RAJASTHAN,2019-20,2011-12,Current Price,837789.3389,2019,"Financial Year (Apr - Mar), 2019"
DELHI,2019-20,2011-12,Current Price,659603.8311,2019,"Financial Year (Apr - Mar), 2019"
HARYANA,2019-20,2011-12,Current Price,602498.5348,2019,"Financial Year (Apr - Mar), 2019"
MADHYA PRADESH,2019-20,2011-12,Constant Price,472020.71,2019,"Financial Year (Apr - Mar), 2019"
ANDAMAN & NICOBAR ISLANDS,2019-20,2011-12,Constant Price,5819.1636,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2019-20,2011-12,Constant Price,199825.12,2019,"Financial Year (Apr - Mar), 2019"
CHANDIGARH,2019-20,2011-12,Current Price,36363.86,2019,"Financial Year (Apr - Mar), 2019"
PUDUCHERRY,2019-20,2011-12,Constant Price,21248.8973,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2019-20,2011-12,Current Price,2152764.499,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2019-20,2011-12,Constant Price,1617967.672,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2019-20,2011-12,Constant Price,17779.1447,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2019-20,2011-12,Current Price,21716.8652,2019,"Financial Year (Apr - Mar), 2019"
ANDAMAN & NICOBAR ISLANDS,2019-20,2011-12,Current Price,7967.4215,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2019-20,2011-12,Current Price,1245410.339,2019,"Financial Year (Apr - Mar), 2019"
MEGHALAYA,2019-20,2011-12,Constant Price,20362.77,2019,"Financial Year (Apr - Mar), 2019"
KERALA,2019-20,2011-12,Current Price,654711.5327,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2019-20,2011-12,Constant Price,15062.4195,2019,"Financial Year (Apr - Mar), 2019"
WEST BENGAL,2019-20,2011-12,Current Price,1018660.58,2019,"Financial Year (Apr - Mar), 2019"
NAGALAND,2019-20,2011-12,Constant Price,14972.7204,2019,"Financial Year (Apr - Mar), 2019"
CHANDIGARH,2019-20,2011-12,Constant Price,26385.49,2019,"Financial Year (Apr - Mar), 2019"
GOA,2019-20,2011-12,Current Price,59835.8695,2019,"Financial Year (Apr - Mar), 2019"
ORISSA,2019-20,2011-12,Constant Price,314183.0,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2019-20,2011-12,Current Price,207785.0,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2019-20,2011-12,Constant Price,332587.3636,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2019-20,2011-12,Current Price,282662.16,2019,"Financial Year (Apr - Mar), 2019"
RAJASTHAN,2019-20,2011-12,Constant Price,561217.8252,2019,"Financial Year (Apr - Mar), 2019"
NAGALAND,2019-20,2011-12,Current Price,25416.5547,2019,"Financial Year (Apr - Mar), 2019"
UTTAR PRADESH,2019-20,2011-12,Current Price,1354384.325,2019,"Financial Year (Apr - Mar), 2019"
SIKKIM,2019-20,2011-12,Constant Price,15812.8609,2019,"Financial Year (Apr - Mar), 2019"
BIHAR,2019-20,2011-12,Current Price,516906.4068,2019,"Financial Year (Apr - Mar), 2019"
TAMIL NADU,2019-20,2011-12,Constant Price,997767.6311,2019,"Financial Year (Apr - Mar), 2019"
TELANGANA,2019-20,2011-12,Constant Price,513416.4945,2019,"Financial Year (Apr - Mar), 2019"
TRIPURA,2019-20,2011-12,Current Price,48036.98,2019,"Financial Year (Apr - Mar), 2019"
TRIPURA,2019-20,2011-12,Constant Price,33912.81,2019,"Financial Year (Apr - Mar), 2019"
MADHYA PRADESH,2019-20,2011-12,Current Price,802765.55,2019,"Financial Year (Apr - Mar), 2019"
UTTAR PRADESH,2019-20,2011-12,Constant Price,949103.189,2019,"Financial Year (Apr - Mar), 2019"
ASSAM,2019-20,2011-12,Current Price,266745.4532,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2019-20,2011-12,Constant Price,162378.0,2019,"Financial Year (Apr - Mar), 2019"
TAMIL NADU,2019-20,2011-12,Current Price,1460662.409,2019,"Financial Year (Apr - Mar), 2019"
WEST BENGAL,2019-20,2011-12,Constant Price,680575.3218,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2019-20,2011-12,Current Price,429055.9969,2019,"Financial Year (Apr - Mar), 2019"
SIKKIM,2019-20,2011-12,Current Price,25401.015,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2019-20,2011-12,Current Price,28108.0155,2019,"Financial Year (Apr - Mar), 2019"
ASSAM,2019-20,2011-12,Constant Price,184283.2425,2019,"Financial Year (Apr - Mar), 2019"
JHARKHAND,2019-20,2011-12,Current Price,261913.97,2019,"Financial Year (Apr - Mar), 2019"
BIHAR,2019-20,2011-12,Constant Price,347548.3429,2019,"Financial Year (Apr - Mar), 2019"
ORISSA,2019-20,2011-12,Current Price,411233.0,2019,"Financial Year (Apr - Mar), 2019"
ARUNACHAL PRADESH,2019-20,2011-12,Constant Price,15225.09,2019,"Financial Year (Apr - Mar), 2019"
DELHI,2019-20,2011-12,Constant Price,472276.3675,2019,"Financial Year (Apr - Mar), 2019"
JAMMU & KASHMIR,2019-20,2011-12,Current Price,129424.1337,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2019-20,2011-12,Constant Price,940869.3828,2019,"Financial Year (Apr - Mar), 2019"
ARUNACHAL PRADESH,2019-20,2011-12,Current Price,24613.0,2019,"Financial Year (Apr - Mar), 2019"
HARYANA,2019-20,2011-12,Constant Price,437077.5123,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020-21,2011-12,Constant Price,313719.1515,2020,"Financial Year (Apr - Mar), 2020"
GOA,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2020-21,2011-12,Constant Price,91993.8144,2020,"Financial Year (Apr - Mar), 2020"
WEST BENGAL,2020-21,2011-12,Constant Price,689078.4082,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2020-21,2011-12,Current Price,29783.0905,2020,"Financial Year (Apr - Mar), 2020"
ORISSA,2020-21,2011-12,Constant Price,298945.0,2020,"Financial Year (Apr - Mar), 2020"
CHHATTISGARH,2020-21,2011-12,Current Price,288359.36,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2020-21,2011-12,Constant Price,179011.53,2020,"Financial Year (Apr - Mar), 2020"
TAMIL NADU,2020-21,2011-12,Current Price,1544935.266,2020,"Financial Year (Apr - Mar), 2020"
NAGALAND,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2020-21,2011-12,Current Price,804101.1413,2020,"Financial Year (Apr - Mar), 2020"
WEST BENGAL,2020-21,2011-12,Current Price,1104866.47,2020,"Financial Year (Apr - Mar), 2020"
ORISSA,2020-21,2011-12,Current Price,398662.0,2020,"Financial Year (Apr - Mar), 2020"
MIZORAM,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
ANDAMAN & NICOBAR ISLANDS,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2020-21,2011-12,Current Price,124830.4663,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
ASSAM,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
MEGHALAYA,2020-21,2011-12,Current Price,27071.8363,2020,"Financial Year (Apr - Mar), 2020"
MEGHALAYA,2020-21,2011-12,Constant Price,18503.9457,2020,"Financial Year (Apr - Mar), 2020"
GUJARAT,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
ANDAMAN & NICOBAR ISLANDS,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2020-21,2011-12,Current Price,258773.73,2020,"Financial Year (Apr - Mar), 2020"
KARNATAKA,2020-21,2011-12,Current Price,1340349.945,2020,"Financial Year (Apr - Mar), 2020"
DELHI,2020-21,2011-12,Constant Price,445521.2198,2020,"Financial Year (Apr - Mar), 2020"
ARUNACHAL PRADESH,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
BIHAR,2020-21,2011-12,Constant Price,349069.975,2020,"Financial Year (Apr - Mar), 2020"
JAMMU & KASHMIR,2020-21,2011-12,Current Price,132714.3828,2020,"Financial Year (Apr - Mar), 2020"
MIZORAM,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
TELANGANA,2020-21,2011-12,Current Price,810502.7151,2020,"Financial Year (Apr - Mar), 2020"
CHANDIGARH,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
HARYANA,2020-21,2011-12,Constant Price,414820.9815,2020,"Financial Year (Apr - Mar), 2020"
ANDHRA PRADESH,2020-21,2011-12,Constant Price,512923.0,2020,"Financial Year (Apr - Mar), 2020"
SIKKIM,2020-21,2011-12,Current Price,26968.077,2020,"Financial Year (Apr - Mar), 2020"
CHHATTISGARH,2020-21,2011-12,Constant Price,195260.83,2020,"Financial Year (Apr - Mar), 2020"
GOA,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
HARYANA,2020-21,2011-12,Current Price,591307.8957,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2020-21,2011-12,Constant Price,20356.815,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2020-21,2011-12,Constant Price,447007.47,2020,"Financial Year (Apr - Mar), 2020"
ARUNACHAL PRADESH,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
DELHI,2020-21,2011-12,Current Price,633178.5697,2020,"Financial Year (Apr - Mar), 2020"
TRIPURA,2020-21,2011-12,Current Price,50148.2755,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
ANDHRA PRADESH,2020-21,2011-12,Current Price,800813.7591,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020-21,2011-12,Current Price,426719.4285,2020,"Financial Year (Apr - Mar), 2020"
TRIPURA,2020-21,2011-12,Constant Price,35137.1759,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2020-21,2011-12,Constant Price,894443.22,2020,"Financial Year (Apr - Mar), 2020"
KARNATAKA,2020-21,2011-12,Constant Price,870209.1599,2020,"Financial Year (Apr - Mar), 2020"
TAMIL NADU,2020-21,2011-12,Constant Price,1011926.741,2020,"Financial Year (Apr - Mar), 2020"
BIHAR,2020-21,2011-12,Current Price,529137.9961,2020,"Financial Year (Apr - Mar), 2020"
TELANGANA,2020-21,2011-12,Constant Price,510464.7281,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2020-21,2011-12,Current Price,774015.71,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2020-21,2011-12,Current Price,1348892.09,2020,"Financial Year (Apr - Mar), 2020"
SIKKIM,2020-21,2011-12,Constant Price,16365.6528,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2020-21,2011-12,Constant Price,527448.4324,2020,"Financial Year (Apr - Mar), 2020"
JAMMU & KASHMIR,2020-21,2011-12,Constant Price,86586.1358,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
GUJARAT,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
NAGALAND,2020-21,2011-12,Current Price,,2020,"Financial Year (Apr - Mar), 2020"
CHANDIGARH,2020-21,2011-12,Constant Price,,2020,"Financial Year (Apr - Mar), 2020"
