State\UT,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,8.24,10.96,13.31,15.01,11.74,14.6,11.38,4.1,4.82,17.35,11.49,10.28
Arunachal Pradesh,12.35,13.93,21.94,1.91,6.11,11.85,11.72,17.45,-0.35,12.39,12.07,NA
Assam,8.4,11.51,6.36,14.98,9.07,13.3,7.83,11.22,-3.52,19.57,15.75,12.84
Bihar,12.59,10.05,6.39,6.05,11.98,8.24,10.49,8.5,-4.74,12.87,13.92,NA
Chhattisgarh,10.28,14.84,4.37,0.08,14.1,6.61,14.9,4.5,-0.46,15.85,11.71,7.31
Goa,-9.67,-7.93,34.02,15.7,13.26,8.65,2.91,2.89,-2.96,12.38,12.09,NA
Gujarat,17.54,10.03,12.27,9.63,12.24,13.22,11.58,7.58,-2.4,16.69,13.07,NA
Haryana,14.31,13.61,6.98,11.93,12.14,12.68,7,4.26,-3.42,17.87,12.04,9.83
Himachal Pradesh,13.69,14.4,8.07,9.9,10.91,10.12,5.62,6.72,-7.19,13.08,11.74,7.5
Jharkhand,14.8,5.59,14.59,-7.93,13.77,12.44,11.76,-0.54,-6.74,20.15,9.3,NA
Karnataka,13.36,16.14,9.42,13.91,14.71,9.38,10.44,8.23,-0.16,20.33,14.09,9.34
Kerala,12.67,11.85,9.85,9.29,12.23,10.23,12.11,1.68,-6.92,20.57,12.59,NA
Madhya Pradesh,16.3,15.8,7.38,11.5,19.72,10.28,12.65,10.37,0.1,14.39,13.13,8
Maharashtra,12.55,11.75,6.05,10.52,11.52,5.46,5.91,3.84,-3.26,17.16,NA,NA
Manipur,3.69,15.93,10.29,5.18,7.03,20.49,3.2,6.48,-3.55,20.82,NA,NA
Meghalaya,7.83,2.8,0.31,7.68,8.37,6.28,7.88,7.27,-4.9,13.87,9.1,10.33
Mizoram,12.76,19.34,32.82,10.68,11.44,22.12,6.11,18.61,-11.18,14.66,NA,NA
Nagaland,15.5,16.8,9.59,5.23,10.77,11.67,7.05,12.42,-2.43,1.57,13.95,NA
Odisha,13.18,10.82,4.38,2.35,19.54,12.32,12.58,6.76,-1.37,22.51,14.84,11.18
Punjab,10.22,10.09,4.95,9.07,8.35,8.58,7.25,2.94,-2.44,12.62,7.59,7.18
Rajasthan,11.31,9.15,10,9.16,10.19,7.37,8.01,8.38,-0.59,16.64,13.14,10.59
Sikkim,9.78,11.74,10.03,14.87,14.12,24.38,7.62,9.81,0.59,11.68,12.18,NA
Tamil Nadu,13.13,11.03,10.72,9.68,10.26,11.93,10.9,6.07,1.68,15.56,13.76,13.92
Telangana,10.85,11.04,10.65,13.49,13.17,12.52,17,10.23,-2.42,19.24,15.79,11.44
Tripura,11.49,17.58,13.01,20.63,8.7,9.66,12.52,7.47,-2.52,16.11,15.96,NA
Uttar Pradesh,11.91,12.04,5.34,11.48,11.79,10.01,7.6,5.31,-5.86,19.47,13.27,11.81
Uttarakhand,13.3,11.18,7.71,8.7,9.34,11.81,2.96,2.34,-8.41,17.6,12.54,12.64
West Bengal,12.9,13.29,4.47,10.33,8.29,11.07,13.7,6.15,-4.72,15.98,14.39,10.53
Andaman & Nicobar Islands,10.86,12.46,13.73,8.48,12.29,16.12,14.29,7.54,-6.5,11.55,NA,NA
Chandigarh,13.52,12.69,4.54,8.19,9.66,11.21,9.73,7.44,-12.17,16.21,16.62,NA
Delhi,11.12,10.86,8.47,9.32,9.36,7.7,6.41,5.04,-9.41,16.72,14.33,7.39
Jammu & Kashmir-UT*,10.63,8.08,0.68,20.25,5.35,11.08,12.57,3.17,-0.22,14.64,14.77,9.5
Puducherry,9.11,13.48,-0.83,17.56,8.47,5.87,2.92,6.76,-4.16,19.58,10.06,NA